priority,score,tier,miles,place,name,url,tags,ingestion_class,notes
P0,110,0-15,5.9,Kilgore,Visit Kilgore Events,https://visitkilgore.com/events/,"tourism_cvb, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,ArtsView Children's Theatre,https://artsviewchildrenstheatre.com/,"performing_arts, theater, youth_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Bandsintown - Longview,https://www.bandsintown.com/c/longview-tx,"event_aggregator, live_music",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Belcher Center,https://www.belchercenter.com/,"performing_arts, concert_venue, ticketed_events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,City of Longview Calendar,https://www.longviewtexas.gov/Calendar.aspx,"city_official, municipal_calendar, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P1,75,0-15,11.8,Longview,East Texas Review,https://easttexasreview.com/,"newspaper, regional_news, event_notices",news-scrape,Longview-based regional/community publication.
P0,110,0-15,11.8,Longview,Eventbrite - Longview Events,https://www.eventbrite.com/d/tx--longview/events/,"event_aggregator, ticketing",aggregator/ticketing,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Great Texas Balloon Race,https://gtbr.net/,"festival, annual_event, live_music",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,LeTourneau University Events,https://www.letu.edu/events/,"college, campus_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Longview Arboretum Calendar,https://longviewarboretum.org/calendar/,"garden, civic_events, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P1,80,0-15,11.8,Longview,Longview Arboretum Events,https://longviewarboretum.org/arboretum-events/,"garden, civic_events, events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Longview Chamber Events,https://business.longviewchamber.com/events,"chamber, business_events, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Longview Convention Complex Event Calendar,https://www.longviewtexas.gov/3930/Event-Calendar,"civic_venue, event_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Longview Museum of Fine Arts,https://www.lmfa.org/,"museum, arts, events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P1,75,0-15,11.8,Longview,Longview News-Journal,https://news-journal.com/,"newspaper, local_news, event_notices",news-scrape,Major regional daily; scrape events/arts/news calendars.
P0,110,0-15,11.8,Longview,Longview Symphony,https://longviewsymphony.org/,"performing_arts, symphony, concerts",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Oil Horse Brewing Company Events,https://www.oilhorsebrewing.com/events/,"brewery, live_music, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Theatre Longview,https://theatrelongview.com/,"performing_arts, theater, events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Visit Longview - Downtown Live,https://www.visitlongviewtexas.com/258/Downtown-Live,"tourism_cvb, live_music, outdoor_concerts",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,110,0-15,11.8,Longview,Visit Longview Event Calendar,https://www.visitlongviewtexas.com/173/Calendar,"tourism_cvb, events_calendar, submit_event",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,18.9,Gilmer,East Texas Yamboree,https://yamboree.com/,"festival, annual_event",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.3,Henderson,Depot Museum,https://depotmuseum.com/,"museum, events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.3,Henderson,Henderson Area Chamber Events,https://business.hendersontx.com/events,"chamber, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.3,Henderson,Henderson Civic Theatre,https://www.hendersoncivictheatre.org/,"performing_arts, theater",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Bandsintown - Tyler,https://www.bandsintown.com/c/tyler-tx,"event_aggregator, live_music",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Caldwell Zoo,https://caldwellzoo.org/,"zoo, family_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,EGuide Calendar,https://eguidemagazine.com/calendar/,"event_aggregator, regional_events, calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,EGuide Gig Guide,https://eguidemagazine.com/gig-guide-2/,"event_aggregator, live_music",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,ETX Brewing Co. Events,https://etxbrew.com/events/,"brewery, live_music, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,East Texas State Fair,https://www.etstatefair.com/,"festival, fair, annual_event",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,East Texas Symphony Orchestra,https://etso.org/,"performing_arts, symphony, concerts",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Eventbrite - Tyler Events,https://www.eventbrite.com/d/tx--tyler/events/,"event_aggregator, ticketing",aggregator/ticketing,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Liberty Hall,https://libertytyler.com/,"performing_arts, music_venue, theater, film",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,92,16-30,22.5,Tyler,Liberty Hall Facebook,https://www.facebook.com/LibertyHallTyler/,"venue_facebook, performing_arts",facebook/manual-or-api,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Texas Parks & Wildlife State Park Events Search,https://tpwd.texas.gov/state-parks/parks/things-to-do/calendar,"state_park, event_aggregator, outdoor_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Texas Rose Festival,https://www.texasrosefestival.org/,"festival, annual_event",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,The East Texas Weekend,https://www.theeasttexasweekend.com/,"event_aggregator, live_music, regional_events",unknown,High-value regional events and live-music source.
P0,92,16-30,22.5,Tyler,The East Texas Weekend - Music,https://www.theeasttexasweekend.com/music/,"event_aggregator, live_music",unknown,Regional live music lineup/category.
P0,102,16-30,22.5,Tyler,True Vine Brewing Events,https://www.truevinebrewing.com/fun,"brewery, live_music, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Tyler Area Chamber Events,https://business.tylertexas.com/events/calendar,"chamber, business_events, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Tyler Civic Theatre,https://tylercivictheatre.com/,"performing_arts, theater",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Tyler Junior College,https://www.tjc.edu/,"college, campus_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Tyler Museum of Art,https://tylermuseum.org/,"museum, arts, events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Tyler Parks Event Calendar,https://www.cityoftyler.org/government/departments/parks-rec/programs-services/programs-special-events/parks-event-calendar,"city_official, parks_rec, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Tyler State Park,https://tpwd.texas.gov/state-parks/tyler,"state_park, outdoor_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,UT Tyler Cowan Center,https://cowancenter.org/,"performing_arts, concert_venue, college",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,University of Texas at Tyler Events,https://www.uttyler.edu/events/,"college, campus_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Visit Tyler Annual Events,https://www.visittyler.com/p/annual-events,"tourism_cvb, annual_events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,22.5,Tyler,Visit Tyler Events,https://www.visittyler.com/p/events,"tourism_cvb, events_calendar, submit_event",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,26.3,Tatum,Martin Creek Lake State Park,https://tpwd.texas.gov/state-parks/martin-creek-lake,"state_park, outdoor_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,27.9,Lindale,Texas Music City Grill - Lindale Events,https://texasmusiccity.net/txm-lindale-events/,"music_venue, restaurant, live_music",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,92,16-30,27.9,Lindale,Texas Music City Grill - Lindale Facebook,https://www.facebook.com/txmlindale/,"venue_facebook, live_music",facebook/manual-or-api,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,102,16-30,27.9,Lindale,Visit Lindale,https://visitlindale.com/,"tourism_cvb, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,33.7,Marshall,Eventbrite - Marshall Events,https://www.eventbrite.com/d/tx--marshall/events/,"event_aggregator, ticketing",aggregator/ticketing,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,33.7,Marshall,Marshall Chamber Events,https://marshalltexas.com/events/,"chamber, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,33.7,Marshall,Marshall Symphony,https://marshallsymphony.com/,"performing_arts, symphony, concerts",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,33.7,Marshall,Memorial City Hall Performance Center,https://www.memorialcityhall.com/,"performing_arts, concert_venue, civic_venue",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,33.7,Marshall,Visit Marshall,https://visitmarshalltexas.com/,"tourism_cvb, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,33.7,Marshall,Visit Marshall Annual Events,https://visitmarshalltexas.com/annual-events/,"tourism_cvb, annual_events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,33.7,Marshall,Wonderland of Lights,https://www.marshalltexas.net/483/Wonderland-of-Lights,"festival, annual_event, city_official",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,35.3,Mineola,Mineola Chamber,https://mineolachamber.org/,"chamber, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,35.3,Mineola,Mineola Civic Center,https://www.mineolaciviccenter.com/,"civic_venue, event_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,37.4,Pittsburg,Pittsburg-Camp County Chamber,https://www.pittsburgchamber.com/,"chamber, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,37.4,Pittsburg,Un Sueño Vineyards,https://unsuenovineyard.com/,"winery, live_music, events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,39.2,Jacksonville,Cherokee Civic Theatre,https://www.cherokeetheatre.net/,"performing_arts, theater",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,39.2,Jacksonville,Jacksonville Chamber,https://www.jacksonvilletexas.com/,"chamber, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,39.7,Edom,Moore's Store - Ben Wheeler info,https://www.benwheelertx.com/moores-store/,"music_venue_directory, restaurant, live_music",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P1,76,31-45,39.7,Edom,Moore's Store Texas Facebook,https://www.facebook.com/p/Moores-Store-Texas-100084156972138/,"venue_facebook, live_music",facebook/manual-or-api,Ben Wheeler-area venue; FB-first event source.
P1,86,31-45,39.7,Edom,The Forge Ben Wheeler Events,https://theforgebenwheeler.com/category/events-in-ben-wheeler/,"restaurant, event_venue, live_music",html-scrape,Ben Wheeler is near Edom/Van; use Edom/Van distance band if geocoding separately.
P0,96,31-45,39.7,Edom,Visit Edom,https://visitedom.com/,"tourism, arts, festival",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,40.2,Jefferson,Diamond Don's RV Park & Event Center,https://diamonddons.com/,"event_venue, festival, motorsports",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P1,86,31-45,40.2,Jefferson,Jefferson Opera House Theatre Players Facebook,https://www.facebook.com/jeffersonohtp/,"venue_facebook, performing_arts, theater",facebook/manual-or-api,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,40.2,Jefferson,Visit Jefferson Events Calendar,https://visitjeffersontexas.com/events-calendar,"tourism_cvb, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,40.4,Winnsboro,Winnsboro Center for the Arts,https://winnsborocenterforthearts.com/,"arts_center, live_music, gallery_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,40.4,Winnsboro,Winnsboro Chamber,https://www.winnsboro.com/,"chamber, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,40.5,Carthage,Panola College Events,https://www.panola.edu/events/,"college, campus_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,40.5,Carthage,Panola County Chamber Events,https://www.panolacountychamber.com/events,"chamber, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,40.5,Carthage,Texas Country Music Hall of Fame,https://tcmhof.com/,"museum, music, events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,96,31-45,41.7,Daingerfield,Daingerfield State Park,https://tpwd.texas.gov/state-parks/daingerfield,"state_park, outdoor_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,47.2,Rusk,Rusk Chamber of Commerce,https://www.ruskchamber.com/,"chamber, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,47.2,Rusk,Texas State Railroad,https://texasstaterailroad.net/,"tourism, rail_events, family_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,47.5,Grand Saline,Grand Saline Salt Festival,https://grandsalinesaltfestival.com/,"festival, annual_event",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,48.5,Mount Pleasant,Lake Bob Sandlin State Park,https://tpwd.texas.gov/state-parks/lake-bob-sandlin,"state_park, outdoor_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,48.5,Mount Pleasant,Mount Pleasant-Titus County Chamber,https://www.mtpleasanttx.com/,"chamber, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,48.5,Mount Pleasant,Visit Mount Pleasant,https://www.visitmountpleasanttx.com/,"tourism_cvb, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,50.6,Uncertain,Caddo Lake State Park,https://tpwd.texas.gov/state-parks/caddo-lake,"state_park, outdoor_events",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,50.8,Linden,Music City Texas Shows,https://www.musiccitytexas.org/shows,"music_venue, concerts, event_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,50.8,Linden,Music City Texas Theater,https://www.musiccitytexas.org/,"music_venue, theater, concerts",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,53.3,Mount Vernon,Franklin County Chamber,https://franklincountychamber.org/,"chamber, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,54.5,Canton,First Monday Trade Days - Canton,https://www.firstmondaycanton.com/,"market, festival, recurring_event",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,54.5,Canton,Visit Canton,https://www.visitcantontx.com/,"tourism_cvb, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,56.3,Emory,Rains County Chamber,https://www.rainscountychamber.com/,"chamber, events",html-scrape,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,56.4,Athens,Athens Chamber Events,https://www.athenstxchamber.org/events,"chamber, events_calendar",calendar/scrape-or-feed,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
P0,90,46-60,56.4,Athens,Henderson County Performing Arts Center,https://www.hcpac.org/,"performing_arts, theater",unknown,"High-value source for scrapeable event pages, calendars, venue schedules, ticketing, or public event notices."
